id,pheno0,pheno1,pheno2,pheno3,pheno4,pheno5,pheno6,pheno7,pheno8,pheno9,pheno10,pheno11,pheno12,pheno13,pheno14,pheno15,pheno16,pheno17,pheno18,pheno19,pheno20,pheno21,pheno22,pheno23,pheno24,pheno25,pheno26,pheno27,pheno28,pheno29,pheno30,pheno31,pheno32,pheno33,pheno34,pheno35,pheno36,pheno37,pheno38,pheno39,pheno40,pheno41,pheno42,pheno43,pheno44,pheno45,pheno46,pheno47,pheno48,pheno49,pheno50,pheno51,pheno52,pheno53,pheno54,pheno55,pheno56,pheno57,pheno58,pheno59,pheno60,pheno61,pheno62,pheno63,pheno64,pheno65,pheno66,pheno67,pheno68,pheno69,pheno70,pheno71,pheno72,pheno73,pheno74,pheno75,pheno76,pheno77,pheno78,pheno79,pheno80,pheno81,pheno82,pheno83,pheno84,pheno85,pheno86,pheno87,pheno88,pheno89,pheno90,pheno91,pheno92,pheno93,pheno94,pheno95,pheno96,pheno97,pheno98,pheno99
id1,0.3362564,0.47767368,0.30641472,0.3882238,2.057834,0.10547889,0.043530125,0.16556557,0.63533485,-0.67675954,-0.08208351,1.5690757,-0.68902904,-0.7143131,-1.9401547,1.0915486,1.4580115,0.8687577,-0.7887699,-0.8746828,-1.6341355,-1.508192,-2.0448773,-0.692205,0.18240748,-0.8777606,2.106315,0.12656415,-1.0371267,0.35256442,-0.020142157,2.4800231,-1.1435956,0.28728735,-0.0084058745,0.29767412,-0.4504661,-1.1774548,1.4226351,0.08314057,1.1309627,-3.4501133,0.75809556,0.56738406,-1.6871302,0.20329176,-0.42618188,0.4859643,-1.5992839,0.6967202,1.3390722,0.058934383,-0.43954554,-1.0815843,-2.586622,-1.8674842,0.39629775,-1.2824737,-0.79834783,-0.9669475,1.0783896,0.25198287,0.75948524,-0.5086119,1.7251962,-2.2832391,1.6811844,-0.14180967,1.424806,2.37242,-0.39101532,-0.7981721,-0.37950328,-1.6889999,0.20618549,1.3833361,0.9360425,0.97748744,0.11116581,-0.2563724,2.097465,0.71870697,-1.6897243,-0.2919693,-0.2512527,2.198974,1.2053214,0.69884664,-0.029482815,-0.041386224,-0.7185881,-0.17050067,-0.43114427,-0.65878296,1.0405824,0.6025087,0.2631085,-0.27414665,-0.6300608,0.019430825
id2,0.9291136,0.77458256,-1.2561878,0.48135683,-0.24665196,0.33974025,-0.09333866,0.23087999,0.9631854,-0.06144457,0.07360272,-0.74672383,-1.7359719,1.7859371,0.6052771,-1.5011532,-0.021699391,0.70270026,1.4598691,0.025435036,0.6201935,-0.61374104,1.9207969,-0.5652886,0.8808504,1.1363308,-1.2803121,-0.8687216,-0.48563674,-0.9267034,0.18036851,0.40415087,-0.3232417,-1.149185,1.4292574,1.4023932,0.78322905,-0.08426062,-0.73025954,-2.2220378,0.9804588,1.1478693,-1.1951886,0.15462852,0.51029295,-1.0563728,-0.06294886,-0.29368314,-0.7184762,0.15555365,-1.5586702,1.7990242,0.14168139,0.62931776,0.48915842,0.22461136,0.6052077,0.42689675,0.0527915,-1.1586767,-0.54416656,-0.82602733,0.40489835,-0.16221738,0.29263675,0.93142724,-0.97310764,-0.13794689,1.181269,-0.72067523,1.4577054,1.8080958,-0.9329889,0.51974106,0.97378314,-0.44241372,-1.6934985,0.7336281,0.78347605,-1.3305498,-0.44344383,-1.9841545,-0.49692446,0.28216904,1.1703228,1.215483,-1.5706352,0.09157524,-0.9543839,0.2820053,0.06279764,1.4859802,-0.5038987,-1.0735025,-1.4667549,-0.65875703,0.37260547,-0.19117735,0.56154156,-0.83395094
id3,-0.3266122,0.18481879,-0.5696827,-0.44849193,2.8848736,-1.278876,-0.07738007,0.9861558,2.5967455,0.011418402,-1.1903555,-0.027168497,0.56068563,0.3756617,-0.1674511,-0.11255005,-0.63223153,-0.49270478,-1.4014157,-0.46991068,-2.0268078,-1.5811462,-0.31743026,0.56863785,1.0285063,-0.436671,-0.35371706,-0.30081147,0.9137321,0.95320094,-1.274425,0.31879726,1.0784186,0.5712008,-1.2125977,-0.72067064,-0.07720533,0.59231824,-0.6407008,-0.112567864,-1.1678509,1.4448003,-0.42991236,-1.6711113,-1.0424709,0.40163365,1.1027895,0.4508543,1.2177336,0.27429137,0.6269572,0.1054987,-0.033192094,0.4680837,-0.28622714,-0.9589285,0.34108365,0.16791275,1.0088985,-0.88694805,0.34151667,-0.9416094,1.714539,-0.1938402,-0.70384717,-1.3037025,1.1820602,-0.11121668,-0.12988642,1.4326456,-0.90965253,-0.48886344,-2.1171072,-1.0605941,0.110960595,0.23691255,-0.4318147,-1.2918004,0.34586498,-1.0732749,-0.87803227,0.10272771,-0.95624536,-0.2948574,0.79723823,0.31230658,-0.31811005,1.4051797,1.2885554,0.013878161,-0.42451328,0.572531,-0.04708003,-0.77789134,1.5729811,0.716598,-0.11800165,-0.591999,0.4598742,-0.045616448
id4,0.3624105,0.74877214,1.951243,-1.0722473,1.7765946,0.7714131,-0.2046597,0.8322713,0.97480166,-1.1508707,1.3720394,-0.00870422,2.218468,-1.14998,-1.5568562,-1.5081853,-1.2887332,0.8533282,-0.13894805,1.0240399,-0.8297133,0.83844507,-0.013090825,-0.6202511,0.6835986,-0.14305028,-1.3786477,2.2901382,0.9420543,-0.71258515,-0.91055554,-1.4888604,-0.66602826,1.0235035,-0.8823012,-0.49901098,-0.8204215,0.0058856863,0.19641472,-0.7873384,-0.52992743,0.35326982,1.1535683,-1.1468523,-0.73725325,2.1322656,0.11060233,-1.4405593,0.2228122,0.9550228,-0.2322171,-2.1216342,1.2759501,-1.3218126,1.0189539,-0.46492743,0.8684362,0.96469533,0.07178602,0.6789414,-0.419926,0.5320563,0.53821355,1.8106091,1.3344945,2.682056,1.0179635,0.1114301,0.99586564,0.11064842,1.4140166,0.07348864,1.4410206,1.3622708,1.9260447,0.24449912,0.9402093,0.7287677,-0.2524706,-1.080841,-1.2043285,2.2136245,0.4406336,1.0179908,0.52615327,-0.4705292,2.1328962,0.1588272,0.009444665,0.60589916,0.6059279,-1.4268513,0.38621667,0.56929344,-2.7231479,1.3067284,2.1749218,0.15936619,1.1017808,0.26369685
id5,0.6140574,0.79454035,0.61939293,0.13670619,-1.4463247,-0.66042495,-0.7994028,-0.93010443,-0.47818327,0.9206988,0.11437754,0.03659197,1.08277,-0.022281993,1.7806956,1.8436308,-2.700023,-1.9382157,1.4371558,0.70881164,-1.6330767,0.406156,-1.2247043,-1.3716403,1.8234398,-1.1220584,-2.4749522,1.4154637,1.3680357,2.0868485,0.18157388,-0.98598075,0.5135766,0.39518738,-1.0199159,-0.5458845,1.5462589,0.647739,-1.266407,0.22045067,-1.0265898,1.3902993,0.3535768,-0.35633323,0.1900967,-0.13044044,0.55594337,-0.9682666,-0.7325974,1.278809,0.27761272,1.2994165,-0.5439204,1.6647813,0.63808817,0.4252766,1.4730176,0.56702995,0.33682984,-0.13873461,0.29856366,-0.45514953,0.11366066,0.34616685,-1.3623936,-1.2198538,-0.5689126,0.061297815,-0.5704268,0.20837572,-1.9158158,-0.91431254,-1.4714724,-1.0287695,-0.61816233,1.2244014,0.5117854,-0.95389843,1.3601683,-2.7449164,-0.9148179,1.0136952,0.23960283,0.06532505,1.5259426,-1.2522467,0.26189768,0.8111202,0.15178451,0.0147906495,-0.9229629,0.023982218,0.81314534,1.6458344,-0.061850663,-0.5510104,0.25941187,0.5981289,1.0532626,-1.6266979
id6,-0.5434197,-0.858597,-0.13564768,-0.9015541,0.5630755,1.2817141,-1.0923073,0.2634634,-0.36945048,-1.0407121,0.50702405,1.5652442,-0.4159288,-1.042714,0.7170926,-1.627504,0.84826493,0.17077267,0.2863349,0.6123862,2.2243872,1.58647,-0.23422205,1.5260224,-1.0065411,0.7643982,-0.8210863,-0.7071628,0.09233727,0.86983573,-1.0293307,-0.051061332,-0.19626647,0.7678151,-0.4941698,0.46301696,-0.12683178,0.6466284,0.1385671,-0.4562418,-0.5384547,0.3702313,-1.2004993,0.8622161,0.12880103,0.8734881,-1.4408293,-0.9793864,0.80890304,-1.2623285,-0.6002063,1.0317171,-0.24059513,0.024093619,0.2005782,-0.7603176,0.58777374,0.94604796,1.569638,-0.97103703,0.15882234,-0.5995387,0.43373412,-0.34596053,0.030859826,-0.7515939,1.4545579,-0.015498083,0.35867706,-0.9572582,-0.76860166,-0.5717936,-1.759859,-1.7267586,-1.3965148,-1.3521645,-0.048217647,0.53795147,1.4753401,-0.3620868,-1.2934998,-0.068011805,0.1988013,-0.576076,0.5399605,0.5534239,-1.1550994,0.63963443,0.051285777,-1.1656052,-0.42816684,-0.8289781,0.7955279,-0.16833995,-0.3404882,-0.28864646,1.0881056,1.4344698,0.4466911,-1.9123101
id7,0.3268423,-0.4076658,-0.028344939,0.74613184,-0.41797465,-1.0453768,0.07541726,-0.14643264,-1.9434333,1.0284253,-0.29144225,-0.5682336,-2.2853737,-1.3453344,-0.4008001,0.3494098,-0.1506801,-0.7576347,0.0008905171,1.491333,0.2678026,1.4457103,0.69161767,0.19457056,-2.630099,2.5707548,1.6008586,-1.8537627,-1.5059855,-1.2571319,0.4730191,-0.41761723,0.018425109,-0.046087477,-0.54017085,1.2744021,1.6990745,-0.9806334,-0.86316717,-0.3566498,1.3959177,-1.2307422,1.3554783,-0.053430025,1.3417425,-1.1004933,1.2379054,0.5872886,-0.8334081,-0.19618991,0.2931894,-2.1683075,0.8436646,-1.3664577,1.5542943,1.4005476,-0.45405266,-0.67176276,-0.20038673,1.9849327,-2.9364202,0.68530726,0.27560604,2.4372854,-0.901686,0.73228294,-0.44044873,-1.0708584,-0.5109827,-0.16208972,1.0803745,-1.788264,1.3303459,1.506087,-0.36567998,-0.025521494,-0.5110438,1.41007,0.7075389,1.4812188,-0.29027304,0.70576596,-0.065098085,1.0145848,0.43077013,-0.35232288,-0.14158966,0.74288094,0.28441215,0.938444,1.086413,0.582115,0.32274842,-0.07194418,0.48886696,-0.3577124,0.49230278,1.6159068,-0.16527668,1.3640116
id8,0.10737468,-0.32782066,1.213005,-0.0051691653,0.6097558,0.6590165,-0.53711355,0.10919178,0.15166582,-2.1428888,-0.10461697,1.0607737,1.4770393,-0.4932817,-1.507072,-1.5756655,0.83398664,-0.4588348,0.62482625,0.17715168,-0.8012207,-0.71771485,0.23793218,-0.82360786,1.0593954,1.1918737,0.23329085,1.2379293,-0.009410448,-0.3947652,0.23234537,-0.5902492,-0.30243665,1.9615036,-0.75192845,0.4904948,0.63182706,0.5012582,1.5244064,-1.4750546,-1.1015673,0.08192491,0.54566026,-0.3877263,-0.84240276,0.592029,-1.4912838,0.7986113,0.6968053,-0.5568673,-1.228342,0.45655668,-0.43892527,-0.77610075,-0.44258267,-0.029923877,-1.3521279,-0.96191233,-1.7405502,0.70447016,-0.21710247,-1.3705741,-1.6413276,0.05809014,0.71621335,-0.78141624,2.2650018,-0.7529297,-0.20343171,-0.34866035,0.0063997856,0.13590588,-0.32965112,-0.9561132,1.4946119,-1.3267783,1.1464821,-0.35071552,-1.5256884,0.322469,-0.099711545,0.08329155,-1.0668963,0.9090355,-1.6551595,-0.5148654,1.0156832,-0.98776114,-1.1776916,0.10992043,-0.46309978,-0.047775846,0.67921084,-0.7457831,-0.83955824,1.4518182,1.2441926,-0.036600024,-0.7956851,2.6345208
id9,-1.4978954,2.091398,-1.9900154,-2.2971146,0.3087921,-0.5360709,0.3851873,2.336273,-0.23145878,0.20987047,-0.40500093,1.1274737,-0.85403836,-0.75599647,0.74852765,0.9473965,0.45427343,-0.7428029,-1.263899,-2.7111473,0.11260914,-0.19891636,0.08687421,1.1520054,-0.3823997,-1.7719471,1.4050171,-0.27219462,0.5560764,-0.3238399,-1.4542221,-1.248835,-0.3472885,-0.90485275,-0.5572548,0.73655444,-0.55983114,0.3015842,-0.72464985,1.0965579,-0.6331235,0.2838654,0.15762673,-0.25966477,0.15905997,-0.2039866,0.45617172,0.57412803,0.73225576,0.96117246,0.26238224,-1.4784465,2.1658213,1.2853156,0.035257343,-0.20732453,0.2863428,0.264496,0.6046045,-0.3854619,-1.1012728,-1.0229987,1.7191577,-0.49018106,-0.3411573,-0.14893474,-0.13964729,1.1050891,0.21173832,-0.05698444,3.2160306,1.2117631,-0.68252087,1.2049729,0.26105434,0.06809713,0.44185182,0.5391602,-1.5194299,-1.7036625,-1.1497383,-1.357847,-0.45237803,-1.0057409,1.6043437,1.5508666,2.7091873,1.8968196,0.43182012,-0.527483,-0.24483593,0.32190067,-1.6820532,-0.31506655,1.5942836,2.1285772,-1.0328054,-0.98673004,-0.96745175,-0.8408152
id10,0.42556822,0.3545516,1.9679673,-0.26071274,3.490566,2.2054012,-0.23883976,1.5028634,-0.25294814,-0.07263274,-0.8839795,-0.67994547,0.948575,0.6184574,-0.3811758,0.3038125,0.8025521,-0.511871,0.64040834,-1.3813207,1.0602167,-1.5432836,-0.8784723,-0.01435983,-0.2679667,-2.606733,0.9252123,0.19508645,-0.22320716,-0.59520537,-0.70028627,0.118585564,0.6256678,0.9862229,-0.15439285,0.7836808,-1.7597097,-1.4630326,0.67491794,0.9929739,-0.374217,-1.9991255,-1.085468,2.0678916,-0.5563667,-0.60706156,-1.2600634,-0.34550014,-0.784161,0.37950692,-0.20333515,-1.3870413,0.56538874,-0.07634697,-2.0583677,-1.0437008,0.040665116,-0.82743967,-0.57724273,1.0548451,1.6232264,-1.0324692,0.18555474,-0.55948675,1.291568,-0.7234894,-0.33396977,-0.24860875,-0.4847265,0.879104,0.40376547,-0.2972375,-0.44449928,-0.037491743,0.47406685,0.3223304,-0.4280413,-0.55668813,-1.9324758,0.26000646,1.995412,-0.26632765,0.38098,-0.76155704,-0.08640737,-0.029201837,2.0190976,-1.53519,-1.1127591,-0.8855926,-0.7153772,-1.3035772,0.087848835,0.60637915,0.6942034,1.4085355,-0.4831047,-0.18685175,-1.9145774,0.16706963
