row_id,pheno0,pheno2,pheno3,pheno4,pheno5,pheno6,pheno7,pheno8,pheno9,pheno10,pheno11,pheno12,pheno14,pheno15,pheno16,pheno17,pheno18,pheno19,pheno20,pheno21,pheno22,pheno23,pheno24,pheno25,pheno26,pheno28,pheno29,pheno31,pheno32,pheno33,pheno34,pheno35,pheno36,pheno38,pheno39,pheno40,pheno41,pheno42,pheno43,pheno44,pheno45,pheno46,pheno48,pheno49,pheno50,pheno51,pheno52,pheno53,pheno54,pheno55,pheno56,pheno57,pheno59,pheno60,pheno61,pheno62,pheno63,pheno64,pheno65,pheno66,pheno67,pheno68,pheno69,pheno71,pheno72,pheno73,pheno74,pheno75,pheno76,pheno77,pheno78,pheno79,pheno80,pheno81,pheno82,pheno83,pheno84,pheno85,pheno86,pheno87,pheno88,pheno89,pheno90,pheno91,pheno92,pheno93,pheno94,pheno95,pheno96,pheno97,pheno98,pheno99
site-1_prs_pheno0,1.52009,-0.06512,0.11217,0.04779,0.11033,-0.05559,-0.03242,0.15468,0.04696,-0.18117,0.05349,-0.09441,0.06423,-0.14693,-0.02028,-0.06014,-0.00994,-0.04644,0.3086,0.03189,0.00411,-0.08891,-0.10025,0.08751,0.01124,-0.27336,-0.09135,-0.07147,-0.07228,-0.08902,-0.12645,0.04941,-0.0487,0.07318,-0.11002,0.12542,-0.18365,-0.01559,0.04593,-0.07156,-0.05077,-0.04867,-0.0883,0.1412,0.07522,0.02661,-0.03253,-0.12766,-0.07735,-0.08074,0.02311,-0.00247,0.01168,-0.183,0.01114,-0.08664,-0.01343,0.0198,0.01441,0.05665,0.04695,0.00689,0.05706,0.02836,0.15046,-0.0052,0.15983,0.05588,0.15234,-0.01171,-0.02925,-0.19095,0.13498,-0.06229,-0.05066,0.08682,-0.00549,-0.04341,-0.03677,-0.02703,-0.18491,-0.07301,0.0106,-0.2151,-0.15476,0.10576,-0.29189,0.03122,-0.01139,-0.05026,-0.02484,0.03117
site-1_prs_pheno1,-0.14748,-0.0007,-0.06059,0.10453,0.00855,-0.00256,0.21306,0.07962,0.08973,0.24016,0.04547,-0.23536,-0.04526,0.05462,-0.00815,0.01708,0.07942,-0.01201,-0.081,-0.01829,-0.00472,0.0548,-0.03824,-0.0917,-0.07613,0.12183,0.08865,0.0174,0.07238,0.07301,0.11526,-0.01212,0.12886,0.01131,-0.05963,0.29074,-0.04711,-0.12486,0.09257,0.06106,0.00018,0.02287,-0.08598,0.12914,-0.13586,-0.03888,-0.13255,-0.09356,-0.01405,0.14569,0.07375,-0.00446,-0.02128,0.01438,-0.12966,0.11683,-0.09166,0.29936,0.15621,-0.08052,0.03494,0.09607,0.0081,-0.14846,-0.06565,-0.19067,0.13032,-0.03254,-0.15158,0.22181,-0.00228,-0.23841,-0.02691,-0.06848,0.20205,-0.05353,-0.01805,0.09835,0.05208,-0.06774,-0.08762,-0.02805,-0.10756,0.25331,0.05975,0.12462,0.07292,-0.00128,0.08099,-0.01247,0.05514,-0.08407
site-1_prs_pheno2,-0.14664,0.97885,0.16257,-0.03121,-0.03762,0.04238,0.02726,-0.13986,0.10901,-0.26657,0.0385,-0.02291,-0.15867,-0.07816,-0.11888,-0.07581,-0.13012,0.0835,-0.03615,-0.0954,-0.14421,0.05806,0.00653,-0.0942,-0.14692,-0.09217,-0.03868,-0.06498,0.10452,-0.1013,-0.18951,-0.14324,0.03873,0.07881,-0.05513,-0.11637,0.12395,0.07336,-0.01506,0.0166,-0.01283,0.03443,-0.09119,0.04811,0.09566,-0.021,0.04195,-0.15943,0.02536,-0.08434,0.04458,0.01647,0.16558,0.09453,-0.10683,0.00843,0.01522,0.13338,0.01755,-0.08083,0.1857,-0.15244,-0.02027,0.08811,0.06719,0.06156,-0.0373,-0.07571,0.07048,-0.03637,-0.07885,0.00237,-0.13175,-0.21908,0.1939,-0.03284,-0.26276,-0.08714,0.0065,-0.10899,0.02184,-0.00129,0.23809,-0.16237,0.15564,0.21019,-0.13862,0.12817,0.01276,-0.16229,0.05127,-0.19727
site-1_prs_pheno3,-0.0988,0.15726,1.17479,0.0624,-0.00122,-0.03469,-0.14529,-0.11131,0.04273,0.17156,0.08046,0.08479,-0.02729,0.06361,-0.0329,0.03007,0.06017,0.13387,-0.08212,0.16935,0.00544,-0.02098,-0.01454,-0.05834,0.0224,-0.01419,0.10464,0.14274,-0.09189,0.18137,-0.10846,0.04775,-0.01033,0.0662,0.04378,-0.18843,0.09753,0.07988,-0.09214,0.02041,0.07,0.03378,0.03886,0.01985,0.07563,0.13104,-0.04422,-0.1754,0.07847,0.0368,-0.04976,-0.10104,0.14598,0.13186,0.08878,-0.19515,0.10865,-0.09258,-0.03427,-0.12135,0.0599,-0.05964,0.08384,0.0441,0.0712,0.10311,0.07063,0.04767,0.0072,0.15959,0.10224,0.01746,0.12732,-0.09419,0.06897,0.20866,-0.06773,-0.11194,-0.03644,0.02936,0.05299,-0.00169,0.04893,-0.16269,0.04689,0.04843,0.14506,-0.00424,-0.00943,-0.04098,-0.2036,0.05996
site-1_prs_pheno4,0.16499,0.0605,0.12367,1.05205,0.05156,-0.15221,0.1866,0.11799,0.11767,-0.05541,-0.0315,0.00101,0.08227,0.03469,0.0068,-0.07375,0.04965,-0.12719,-0.14283,0.33476,-0.08709,0.143,0.04515,-0.14081,-0.0045,0.09312,0.21737,0.11048,0.09911,-0.02811,0.04577,-0.09222,-0.01155,0.12137,-0.15094,-0.00735,0.01534,0.01727,-0.03784,-0.08434,0.07029,0.06703,0.17361,0.02818,0.10343,-0.03316,-0.12182,-0.08168,-0.21203,-0.06154,0.09534,-0.17726,-0.11967,0.25079,0.07122,0.10214,-0.05096,0.09013,-0.02115,-0.09043,-0.10964,-0.0247,0.00778,-0.23566,-0.01245,-0.08548,-0.09302,-0.08764,0.035,0.06852,-0.0538,-0.11528,-0.34525,-0.07019,0.07982,0.01342,-0.02213,0.06131,-0.02039,-0.03653,-0.03445,0.05268,-0.0588,0.02706,0.02057,-0.08438,-0.03456,0.0481,-0.01037,-0.09621,-0.25808,0.09321
site-1_prs_pheno5,0.3123,-0.05681,0.03516,0.16211,0.66885,0.01393,0.12044,0.15646,-0.11355,0.11462,-0.02169,0.02371,0.0782,-0.04045,0.04817,-0.0185,0.06221,0.00514,0.05336,-0.03589,-0.05703,-0.04144,-0.02669,0.06126,0.12863,0.07071,0.04917,0.0778,-0.15857,-0.02421,0.04289,0.0817,-0.13532,0.08425,0.0194,0.02853,-0.17227,-0.0392,0.14349,-0.12809,0.03876,-0.05409,0.08581,0.04537,-0.04721,0.01283,-0.11764,-0.06564,-0.1156,-0.04548,-0.04406,0.01683,0.06284,0.07009,0.0057,0.10845,-0.04619,0.1354,-0.0232,0.022,-0.02647,-0.0423,0.12435,0.20264,-0.02789,-0.04485,0.03789,0.12027,-0.06971,0.07253,-0.04444,-0.1228,0.08126,-0.13061,-0.05516,0.19147,0.17735,0.18086,-0.00564,0.05557,-0.17111,0.05675,-0.1023,-0.04128,-0.03758,-0.03105,-0.00866,0.06295,0.02956,0.0062,-0.06034,0.18654
site-1_prs_pheno6,0.17018,-0.15414,0.02686,-0.13847,0.03231,0.8941,-0.04138,0.11079,0.01695,0.01249,-0.04231,0.13965,-0.09082,0.03496,0.00836,0.02778,-0.05749,0.0142,0.06541,-0.12595,0.10186,-0.07653,-0.15147,-0.05528,0.01812,-0.03452,0.02208,0.04126,-0.0765,0.11418,0.06635,0.01477,-0.02902,0.00524,-0.03619,0.00608,-0.04151,-0.29521,-0.0449,-0.01717,0.03382,-0.00634,0.15973,0.08123,-0.18677,-0.00876,-0.00517,-0.03396,0.024,-0.03006,-0.03165,-0.17907,0.01853,-0.03603,-0.02112,0.00936,0.1878,-0.12279,0.00993,-0.04947,-0.00645,-0.02031,-0.11605,-0.0371,-0.191,0.07605,0.19422,0.03482,-0.0198,0.09167,-0.1346,-0.09291,0.25776,0.0807,-0.00316,-0.0759,0.13079,0.00744,0.07703,0.06248,-0.00053,0.08912,-0.07097,-0.21306,-0.00136,-0.06061,-0.11586,0.05807,0.04895,0.04175,0.00956,0.02992
site-1_prs_pheno7,-0.11762,-0.05351,-0.14566,0.1594,0.08516,0.10818,0.74493,0.08946,0.13786,-0.05607,0.10146,-0.13941,-0.07437,0.0884,0.00889,-0.00403,-0.01623,-0.09456,-0.15607,0.09736,-0.02612,0.10698,0.07502,-0.02011,-0.03709,0.06889,0.03567,0.22684,0.12657,-0.07103,-0.03158,-0.04043,0.03032,-0.10845,-0.06692,-0.25959,-0.08631,0.04691,0.09155,0.18256,0.04495,-0.01139,0.19083,0.12949,0.01422,-0.01329,-0.13253,-0.05435,-0.00438,0.02923,0.17449,-0.13497,0.05892,0.20304,-0.23803,0.16396,-0.05215,0.19646,0.06525,-0.04212,-0.02868,0.05189,-0.03656,-0.09451,0.07714,-0.03106,0.08728,-0.02537,-0.02887,0.1203,-0.01892,-0.39828,-0.14556,-0.01389,0.10676,0.02808,-0.09227,-0.02592,0.20593,0.08847,0.07216,-0.10658,-0.01313,0.08598,0.09,0.01515,-0.13467,0.02126,0.00966,-0.14332,0.05768,-0.00815
site-1_prs_pheno8,0.13846,0.02424,0.00108,0.29518,0.03822,-0.00487,0.06568,0.91967,0.16135,-0.22567,-0.03911,-0.17332,-0.04682,-0.09458,0.01073,0.12268,-0.04927,0.17289,-0.06952,0.02853,-0.12323,0.05993,0.06985,-0.07474,-0.00567,-0.01973,0.01499,-0.03788,0.02366,-0.11456,0.04094,-0.04681,0.07871,0.14748,0.0837,-0.11448,0.01014,-0.11504,-0.09203,-0.09686,0.10809,-0.09709,0.09556,-0.03722,0.12681,0.04079,0.00628,0.08802,-0.12198,-0.10626,-0.0781,-0.0526,-0.1889,0.03653,0.13998,0.18645,-0.01345,-0.10138,0.05038,-0.00135,0.10366,-0.05879,-0.07393,0.10659,-0.07215,0.10527,0.02305,-0.04915,0.0088,-0.06332,0.07935,-0.27585,0.06633,0.03541,-0.13216,-0.06047,-0.05077,0.10614,0.07164,-0.05674,-0.07904,-0.0118,0.03445,0.07743,-0.06806,-0.05481,-0.24359,0.0628,0.09224,0.07483,-0.04719,0.13095
site-1_prs_pheno9,-0.05975,-0.07006,-0.10996,0.00273,-0.09652,0.13935,0.05241,0.23256,0.99759,-0.09681,0.06566,-0.21027,0.00742,0.11279,-0.11306,0.01598,0.00016,-0.11809,-0.1536,0.11405,-0.04395,-0.01291,0.06533,0.02248,-0.1418,0.15762,0.04091,-0.11571,0.11738,-0.27545,0.2359,-0.08202,0.107,0.00465,-0.01556,0.10156,0.04549,0.07524,0.17173,0.11532,0.0705,-0.00192,-0.09982,0.20226,0.01236,-0.04036,0.07769,-0.04339,-0.01225,-0.01367,-0.01682,0.06649,0.07357,-0.02979,0.13201,0.20592,0.07776,0.01184,0.00596,-0.1021,0.04331,-0.12176,-0.09394,0.09378,0.02419,0.01614,-0.13878,-0.01001,0.05239,-0.11573,0.1262,-0.11676,0.01178,0.10352,-0.00422,-0.04661,-0.02119,-0.02758,0.04265,0.01904,0.05567,0.07856,0.21638,0.03135,-0.11762,0.01005,-0.11148,-0.00194,0.02858,-0.00436,0.08337,-0.20555
